,heating,cooling and ventilation,envelope,lighting,appliances,other component
electricity (BTU),0.00E+00,1.36E+14,0,6.07E+13,0.00E+00,1.39E+14
coal (BTU),0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00
natural gas (BTU),0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00
petroleum diesel (BTU),0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00
heat (BTU),0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00
biomass (BTU),0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00
kerosene (BTU),0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00
heavy or residual fuel oil (BTU),0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00
LPG propane or butane (BTU),0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00
hydrogen (BTU),0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00
